ProtocolName: Exp_idot_source_DP
DateTime: 2022-02-25 18:02:23
SoftwareProductVersion: 1.7.9
SoftwareBuildVersion: 1.7.2021.1105


Source Plate ID: Exp_IDOT_001 (PURE_S_100) - Barcode : <No Barcode>
Target Plate ID: Exp_301A (Cellvis_P384) - Barcode : <No Barcode>

Liquid              	Source 	Target    	TargetFwd 	TargetSide	Drop	Miss	TargetVolume        	DosingEnergy
DMSO                	A1     	C3        	0.017     	0.02      	2   	0   	50 nL               	184       
DMSO                	B1     	E3        	0.017     	0.02      	2   	0   	50 nL               	184       
DMSO                	C1     	G3        	0.017     	0.02      	2   	0   	50 nL               	184       
DMSO                	D1     	I3        	0.017     	0.02      	2   	0   	50 nL               	184       
DMSO                	E1     	K3        	0.017     	0.02      	2   	0   	50 nL               	184       
DMSO                	F1     	M3        	0.017     	0.02      	2   	0   	50 nL               	184       
DMSO                	G1     	D3        	0.0215    	0.02      	2   	0   	50 nL               	184       
DMSO                	H1     	F3        	0.0215    	0.02      	2   	0   	50 nL               	184       
DMSO                	A2     	H3        	0.0395    	0.02      	2   	0   	50 nL               	184       
DMSO                	B2     	J3        	0.0395    	0.02      	2   	0   	50 nL               	184       
DMSO                	C2     	L3        	0.0395    	0.02      	2   	0   	50 nL               	184       
DMSO                	D2     	N3        	0.0395    	0.02      	2   	0   	50 nL               	184       
DMSO                	E2     	C4        	0.017     	0.0245    	2   	0   	50 nL               	184       
DMSO                	F2     	E4        	0.017     	0.0245    	2   	0   	50 nL               	184       
DMSO                	G2     	G4        	0.017     	0.0245    	2   	0   	50 nL               	184       
DMSO                	H2     	I4        	0.017     	0.0245    	2   	0   	50 nL               	184       
DMSO                	G2     	D4        	0.0215    	0.0245    	2   	0   	50 nL               	184       
DMSO                	G2     	J4        	0.0485    	0.0245    	2   	0   	50 nL               	184       
DMSO                	G2     	M4        	0.062     	0.0245    	2   	0   	50 nL               	184       
DMSO                	G2     	D7        	0.0215    	0.038     	2   	0   	50 nL               	184       
DMSO                	G2     	G7        	0.035     	0.038     	2   	0   	50 nL               	184       
DMSO                	G2     	J7        	0.0485    	0.038     	2   	0   	50 nL               	184       
DMSO                	G2     	M7        	0.062     	0.038     	2   	0   	50 nL               	184       
DMSO                	G2     	D13       	0.0215    	0.065     	2   	0   	50 nL               	184       
DMSO                	G2     	G13       	0.035     	0.065     	2   	0   	50 nL               	184       
DMSO                	G2     	J13       	0.0485    	0.065     	2   	0   	50 nL               	184       
DMSO                	G2     	M13       	0.062     	0.065     	2   	0   	50 nL               	184       
DMSO                	G2     	D16       	0.0215    	0.0785    	2   	0   	50 nL               	184       
DMSO                	G2     	G16       	0.035     	0.0785    	2   	0   	50 nL               	184       
DMSO                	G2     	J16       	0.0485    	0.0785    	2   	0   	50 nL               	184       
DMSO                	G2     	M16       	0.062     	0.0785    	2   	0   	50 nL               	184       
DMSO                	G2     	D19       	0.0215    	0.092     	2   	0   	50 nL               	184       
DMSO                	G2     	G19       	0.035     	0.092     	2   	0   	50 nL               	184       
DMSO                	G2     	J19       	0.0485    	0.092     	2   	0   	50 nL               	184       
DMSO                	G2     	M19       	0.062     	0.092     	2   	0   	50 nL               	184       
DMSO                	G2     	D22       	0.0215    	0.1055    	2   	0   	50 nL               	184       
DMSO                	G2     	G22       	0.035     	0.1055    	2   	0   	50 nL               	184       
DMSO                	G2     	J22       	0.0485    	0.1055    	2   	0   	50 nL               	184       
DMSO                	G2     	M22       	0.062     	0.1055    	2   	0   	50 nL               	184       
DMSO                	A3     	K4        	0.053     	0.0245    	2   	0   	50 nL               	184       
DMSO                	B3     	F4        	0.0305    	0.0245    	2   	0   	50 nL               	184       
DMSO                	C3     	H4        	0.0305    	0.0245    	2   	0   	50 nL               	184       
DMSO                	D3     	L4        	0.0575    	0.0245    	2   	0   	50 nL               	184       
DMSO                	E3     	N4        	0.0575    	0.0245    	2   	0   	50 nL               	184       
DMSO                	F3     	C5        	0.017     	0.029     	2   	0   	50 nL               	184       
DMSO                	G3     	E5        	0.017     	0.029     	2   	0   	50 nL               	184       
DMSO                	H3     	G5        	0.017     	0.029     	2   	0   	50 nL               	184       
DMSO                	A4     	I5        	0.044     	0.029     	2   	0   	50 nL               	184       
DMSO                	B4     	K5        	0.044     	0.029     	2   	0   	50 nL               	184       
DMSO                	C4     	M5        	0.044     	0.029     	2   	0   	50 nL               	184       
DMSO                	D4     	D5        	0.0215    	0.029     	2   	0   	50 nL               	184       
DMSO                	E4     	F5        	0.0215    	0.029     	2   	0   	50 nL               	184       
DMSO                	F4     	H5        	0.0215    	0.029     	2   	0   	50 nL               	184       
DMSO                	G4     	J5        	0.0215    	0.029     	2   	0   	50 nL               	184       
DMSO                	H4     	L5        	0.0215    	0.029     	2   	0   	50 nL               	184       
DMSO                	A5     	N5        	0.0665    	0.029     	2   	0   	50 nL               	184       
DMSO                	B5     	C6        	0.017     	0.0335    	2   	0   	50 nL               	184       
DMSO                	C5     	E6        	0.017     	0.0335    	2   	0   	50 nL               	184       
DMSO                	D5     	G6        	0.017     	0.0335    	2   	0   	50 nL               	184       
DMSO                	E5     	I6        	0.017     	0.0335    	2   	0   	50 nL               	184       
DMSO                	F5     	K6        	0.017     	0.0335    	2   	0   	50 nL               	184       
DMSO                	G5     	M6        	0.017     	0.0335    	2   	0   	50 nL               	184       
DMSO                	H5     	D6        	0.0215    	0.0335    	2   	0   	50 nL               	184       
DMSO                	A6     	F6        	0.0305    	0.0335    	2   	0   	50 nL               	184       
DMSO                	B6     	H6        	0.0305    	0.0335    	2   	0   	50 nL               	184       
DMSO                	C6     	J6        	0.0305    	0.0335    	2   	0   	50 nL               	184       
